,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,MA_5,MA_10,Volatility
0,2026-03-30,1335.0,1365.0,1334.0999755859375,1343.9000244140625,24393861,0.0,0.0,,,,30.9000244140625
1,2026-04-01,1384.199951171875,1384.4000244140625,1362.9000244140625,1369.199951171875,14404619,0.0,0.0,1.8825750649750228,,,21.5
2,2026-04-02,1357.0,1358.199951171875,1328.0,1350.5,21280051,0.0,0.0,-1.3657575108639186,,,30.199951171875
3,2026-04-06,1359.0,1359.0,1290.0,1304.699951171875,29274881,0.0,0.0,-3.3913401575805247,,,69.0
4,2026-04-07,1295.0,1308.300048828125,1291.0,1304.5999755859375,28388922,0.0,0.0,-0.007662726272639198,1334.57998046875,,17.300048828125
5,2026-04-08,1349.0,1350.5999755859375,1326.199951171875,1347.800048828125,21817543,0.0,0.0,3.3113654798885728,1335.3599853515625,,24.4000244140625
6,2026-04-09,1346.0,1350.0,1326.300048828125,1330.0,20725390,0.0,0.0,-1.3206742976157093,1327.5199951171876,,23.699951171875
7,2026-04-10,1337.0,1352.300048828125,1331.5,1350.199951171875,19364461,0.0,0.0,1.518793321193601,1327.4599853515624,,20.800048828125
8,2026-04-13,1321.199951171875,1327.5999755859375,1310.0,1315.0999755859375,28753269,0.0,0.0,-2.599613157701075,1329.539990234375,,17.5999755859375
9,2026-04-15,1337.0,1347.0,1334.199951171875,1344.0999755859375,15313779,0.0,0.0,2.2051555424202007,1337.439990234375,1336.0099853515626,12.800048828125
10,2026-04-16,1352.0,1353.800048828125,1330.0,1343.300048828125,30211012,0.0,0.0,-0.05951393291736551,1336.539990234375,1335.9499877929688,23.800048828125
11,2026-04-17,1340.0,1368.4000244140625,1340.0,1365.0,13869105,0.0,0.0,1.6154210067069963,1343.539990234375,1335.5299926757812,28.4000244140625
12,2026-04-20,1363.199951171875,1373.0,1352.800048828125,1363.300048828125,13614733,0.0,0.0,-0.12453854739010728,1346.160009765625,1336.8099975585938,20.199951171875
13,2026-04-21,1359.0,1369.800048828125,1350.0999755859375,1353.300048828125,27293629,0.0,0.0,-0.733514240580857,1353.8000244140626,1341.6700073242187,19.7000732421875
14,2026-04-22,1350.300048828125,1366.0,1349.0999755859375,1362.0999755859375,9525953,0.0,0.0,0.6502568861526781,1357.4000244140625,1347.4200073242187,16.9000244140625
15,2026-04-23,1346.0,1355.5,1340.699951171875,1343.4000244140625,16385079,0.0,0.0,-1.3728765514316121,1357.42001953125,1346.9800048828124,14.800048828125
16,2026-04-24,1340.0,1345.9000244140625,1325.0,1327.800048828125,11744802,0.0,0.0,-1.1612308547293337,1349.980029296875,1346.760009765625,20.9000244140625
17,2026-04-27,1313.0,1371.5999755859375,1311.0,1365.800048828125,24673098,0.0,0.0,2.861876683431186,1350.480029296875,1348.32001953125,60.5999755859375
18,2026-04-28,1358.0,1395.199951171875,1357.0,1388.9000244140625,41027699,0.0,0.0,1.691314596580784,1357.6000244140625,1355.7000244140625,38.199951171875
19,2026-04-29,1392.0,1433.800048828125,1391.300048828125,1425.4000244140625,30542143,0.0,0.0,2.627978929973618,1370.2600341796874,1363.830029296875,42.5
20,2026-04-30,1409.0,1437.0,1393.0999755859375,1430.800048828125,30956783,0.0,0.0,0.37884273337811525,1387.7400390625,1372.580029296875,43.9000244140625
